Total Instructions,Total Cycles,cpu energy,dram energy,total energy,total time
6718059,7207616,43823.0,916.0,44739.0,0.001352071762084961
6717797,5954351,25818.0,488.0,26306.0,0.001299142837524414
6718213,6257842,39795.0,732.0,40527.0,0.0013000965118408203
6719609,7155821,23925.0,489.0,24414.0,0.0013265609741210938
6720392,6476466,22400.0,488.0,22888.0,0.001329660415649414
6719783,6334587,47119.0,1099.0,48218.0,0.0013506412506103516
6721616,6301260,23010.0,427.0,23437.0,0.0013360977172851562
6722259,6480975,44251.0,976.0,45227.0,0.0013127326965332031
6722260,6398618,29236.0,611.0,29847.0,0.001314401626586914
6722323,6589554,23620.0,427.0,24047.0,0.0013103485107421875
6722821,6566793,42419.0,1099.0,43518.0,0.0013997554779052734
6722124,7585410,29175.0,610.0,29785.0,0.0013723373413085938
6723471,9432652,46204.0,915.0,47119.0,0.0013210773468017578
6723539,8639561,22644.0,367.0,23011.0,0.0013110637664794922
6723342,5704748,22461.0,305.0,22766.0,0.0013191699981689453
6724627,5980780,45349.0,732.0,46081.0,0.0013272762298583984
6725100,6196428,22033.0,305.0,22338.0,0.0013294219970703125
6724292,5489126,44495.0,672.0,45167.0,0.0013294219970703125
6726193,7448198,22705.0,366.0,23071.0,0.001308441162109375
6726901,5873602,25512.0,305.0,25817.0,0.0013036727905273438
6726858,6169904,22338.0,245.0,22583.0,0.001302957534790039
6728021,6922637,28992.0,427.0,29419.0,0.00131988525390625
6728879,6354061,42053.0,549.0,42602.0,0.0013842582702636719
6728767,5230941,25635.0,305.0,25940.0,0.001317739486694336
6730268,5097352,45349.0,733.0,46082.0,0.0013146400451660156
6729795,4941285,28930.0,427.0,29357.0,0.0013272762298583984
6729567,4742447,20447.0,366.0,20813.0,0.0013136863708496094
6730364,4869072,43091.0,611.0,43702.0,0.0013089179992675781
6730726,4813935,23132.0,366.0,23498.0,0.0013172626495361328
6730241,4898411,51147.0,610.0,51757.0,0.0013089179992675781
6731348,6376064,25513.0,427.0,25940.0,0.001310110092163086
6731836,5471786,33752.0,428.0,34180.0,0.0013251304626464844
6732016,5935844,43030.0,610.0,43640.0,0.0013072490692138672
6732786,5033310,24841.0,366.0,25207.0,0.0013015270233154297
6733715,4999269,45471.0,610.0,46081.0,0.0013225078582763672
6733616,5127943,25635.0,367.0,26002.0,0.0013098716735839844
6735101,4836250,20630.0,244.0,20874.0,0.0013065338134765625
6735345,4884640,47912.0,732.0,48644.0,0.0013229846954345703
6735305,4978895,28382.0,366.0,28748.0,0.001313924789428711
6736965,4865367,25573.0,367.0,25940.0,0.0013484954833984375
6737602,5143677,51514.0,915.0,52429.0,0.0013277530670166016
6736264,5011949,20691.0,305.0,20996.0,0.0013074874877929688
6737631,4995285,46570.0,672.0,47242.0,0.0013127326965332031
6737992,4963370,23620.0,366.0,23986.0,0.0013058185577392578
6737583,4976062,26733.0,366.0,27099.0,0.0013051033020019531
6738440,5142756,50110.0,794.0,50904.0,0.0013267993927001953
6738977,5069578,20081.0,244.0,20325.0,0.001317739486694336
6738739,4997054,47119.0,732.0,47851.0,0.0013096332550048828
6740221,5553128,19531.0,244.0,19775.0,0.0013232231140136719
6739759,5426400,60669.0,1587.0,62256.0,0.0014009475708007812
6740194,5241727,70800.0,2869.0,73669.0,0.001958608627319336
6741515,5084596,87219.0,4028.0,91247.0,0.0017085075378417969
