Matrix Size,Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy,total energy,total time
920,176837251,108176783,4985173,17260,3539175,8048,4946140,210359,6049,15091,984,252848,324700,42462,106059,3244258,5232009,31981413,48375427,35900237,3487128,6390411,2944453,3445466,14709,6374810,41412167,11553794,9807520,6173183,52963183,588806,3786769,257127,74114,347314,99482,6024,16474,8653,15306,8899,610446,3626293,263813,3538351,339304,97800,0,200206148,0,56813444,1349028,1071714.0,48401.0,1120115.0,0.04091668128967285
921,175446053,109250220,4865444,14482,3579658,10171,4468563,222273,6269,15663,1004,214383,326196,39103,98577,2410698,5185673,31639524,48246861,35421157,3435615,6394493,2941492,3455370,14015,6382925,40331243,11581429,9819063,5089815,51934051,554547,3805212,219408,65748,350246,103577,5888,15373,7806,18346,8383,565479,3755507,228707,3631729,349042,95847,0,202330050,0,55365300,1314449,1694698.0,108520.0,1803218.0,0.06070542335510254
922,175656345,106731920,4435223,14538,3274038,7889,4837410,204888,15775,15492,4342,213689,325490,32479,97618,1986177,5134046,31761531,48984371,35554092,3439779,6411966,2951795,3462025,14030,6397717,40467647,11602593,9841713,6079913,52069724,550167,3829629,215567,68791,351334,101162,12903,23176,9999,13970,8395,572891,3646203,229974,3374041,344772,97839,0,202768220,0,55591596,1281744,1285764.0,77515.0,1363279.0,0.04695487022399902
923,176139785,107973829,4829233,15301,3601712,6738,4848812,277509,6674,15117,2066,209633,326103,37726,97735,2265260,5140928,31850645,47562548,35615293,3445566,6425112,2957776,3467487,14088,6414020,40582174,11627187,9867135,5761971,52194323,538714,3715655,214454,64965,350878,101599,7039,16733,7293,14372,8317,574042,3635324,220302,3570238,353014,95832,0,203206866,0,55818252,1329891,1079953.0,44983.0,1124936.0,0.04058432579040527
924,176692169,107938363,4936673,29412,3620654,7613,4949248,304387,6738,10796,992,206978,359017,39592,129932,2598996,5066298,31873180,47703642,35627552,3453628,6440484,2966052,3476167,14042,6478773,40696124,11657696,9887722,5431978,52336001,558223,3830111,213328,63730,346098,133025,5658,11559,7590,13413,9875,596389,3789831,229560,3584950,343182,131154,0,203645988,0,56045268,1324667,1016171.0,38086.0,1054257.0,0.03976321220397949
925,177422784,107392288,4913345,15749,3617834,6489,4933320,212381,7073,9959,970,202648,359818,37818,134618,2470012,5141105,31948878,48467737,36199451,3527922,6458305,2975822,3484029,13783,6448765,40809368,11677774,9911024,5828831,52484286,583800,3795872,215789,64519,352694,131555,11969,11935,6396,15193,8476,597249,3816789,225847,3572971,351982,127663,0,204085586,0,56272644,1339115,1527584.0,56274.0,1583858.0,0.05701279640197754
926,178031400,109635613,4931003,12109,3447192,10760,4395261,209710,6881,9500,866,210981,357963,38079,130362,2387840,5052222,32050334,48757108,35720135,3468364,6474326,2983776,3490674,13983,6460030,40926147,11702781,9938692,5635986,52625589,574441,3830390,202254,65039,350372,130948,5948,16667,9975,13503,8895,597877,3825900,226536,3288850,345262,130533,0,204525660,0,56500380,1348640,1581966.0,86792.0,1668758.0,0.056500911712646484
927,178291040,106457736,4635245,14248,3478779,8991,4968212,204921,16722,9861,1180,207211,356847,30185,128964,2257563,5121492,32134707,47812413,35948344,3477937,6471449,2978858,3492686,14258,6456109,41070567,11726564,9938065,5602476,52794575,546569,3867889,207517,58840,355094,132222,5798,11990,9831,13059,8211,595023,3698546,220115,3618352,352810,130142,0,204966210,0,56728476,1322611,1393857.0,89417.0,1483274.0,0.04980587959289551
928,178754867,107795348,5009190,12569,3532179,8968,4716553,286989,7155,10043,601,177693,358304,34247,129031,2321074,5136850,32219906,48371036,35930116,3479719,6464801,2971786,3502525,14088,6450637,41211394,11751064,9941607,5312207,52970886,555584,3865028,195169,60525,347660,132078,12495,12741,10155,13354,11324,575109,3851572,213240,3668935,345002,131393,0,205407236,0,56956932,1279591,1093198.0,47180.0,1140378.0,0.041116952896118164
929,181213053,109189726,5051002,26388,3626916,8605,5019480,280683,6966,11518,1041,212243,352788,36982,129327,2513094,5199943,32639051,49591811,36541308,3484555,6497222,2988938,3508375,14587,6539607,42294886,11780949,9981915,5616648,54071573,591479,3805075,217957,64568,358712,132167,6007,22619,17893,17544,10995,608141,3870456,213261,3582638,349804,128584,0,207585036,0,58811730,1310292,1128171.0,44190.0,1172361.0,0.04350113868713379
930,181627637,110204824,5121695,19175,3639059,7244,5094372,216225,6814,10382,849,221284,361585,36381,132237,3210576,5360550,32724824,49012228,36888760,3528075,6517148,2995333,3522541,14741,6502592,42413691,11805593,10009232,5509877,54215349,591836,3898603,220725,64887,354220,131671,5842,15042,9648,16146,10261,613419,3826433,242197,3689818,350684,130100,0,208033524,0,58936868,1373181,1067197.0,34851.0,1102048.0,0.04085683822631836
931,182112330,109841736,4889762,14010,3733949,16797,4754357,217366,6314,10284,622,217124,358574,40105,128435,2365629,5215076,32802819,49124607,36655668,3503360,6538260,3007956,3529857,14761,6522530,42527763,11830489,10036729,5399053,54360210,596973,3926731,231748,67249,354926,133333,6602,26857,9049,17224,20196,619281,3969932,238634,3742352,354856,128242,0,208482492,0,59062138,1371049,1395932.0,79895.0,1475827.0,0.0514984130859375
932,182533633,111453546,4741931,14178,3733624,7859,5150313,203531,16753,10059,594,238718,362373,35566,129545,1989676,5265751,32871692,51013675,36752878,3507043,6557273,3019618,3538722,15129,6542464,42637479,11855373,10064314,5727869,54491948,605505,3907112,243754,67211,358666,131841,5919,14535,8702,14541,9693,614887,3944364,238180,3777197,353812,128129,0,208931940,0,59187540,1374418,1446957.0,90149.0,1537106.0,0.05222797393798828
933,182859259,110152094,5204885,13244,3783005,8584,5124773,285013,6842,10275,723,221036,359135,40459,128086,2487290,5155913,32947456,49357516,36912062,3514638,6577597,3032705,3550136,15139,6562705,42770571,11880322,10091992,5597518,54652382,581602,4008359,238371,72098,352638,133363,6636,12501,11808,14333,10192,625719,3950251,251707,3809161,355972,127416,0,209381868,0,59313074,1381861,1162412.0,49439.0,1211851.0,0.04291820526123047
934,183270789,111096455,5215808,34960,3813860,7427,5183191,267038,6584,11780,1059,224700,356451,40221,130217,2519881,5312930,33023953,49165824,36860494,3522085,6597683,3044724,3554409,15162,6648153,42862692,11905266,10119773,6060276,54789586,623770,4020397,235813,72265,354040,132268,5959,13765,8024,18649,9736,635216,4024442,248583,3795434,357864,128704,0,209832276,0,59438740,1376512,1083249.0,39917.0,1123166.0,0.04240727424621582
935,183724497,110309553,5105757,18958,3764993,5869,5113966,201058,6644,10880,959,241877,360330,42583,134799,3460299,5387871,33091951,49458311,37362677,3599242,6618794,3058436,3561213,15091,6603048,43006814,11930232,10147558,5301025,54922870,610103,3986127,249975,71388,359406,132453,6351,20617,8351,14348,8329,621399,3990556,253267,3821468,353548,128852,0,210283164,0,59564538,1391122,1245420.0,48279.0,1293699.0,0.04738569259643555
936,184240934,114320926,5220981,13741,3447333,10692,4597300,209094,9216,10963,962,230784,361516,43247,130280,2331055,5387241,33154932,50785733,37170411,3546033,6638978,3069657,3569410,14987,6623352,43124581,11955587,10175366,5718173,55070496,598101,4022068,260863,72878,356452,132307,6539,19446,11528,14042,9710,642024,4047377,273812,3738558,345562,130914,0,210734532,0,59690468,1396460,1434384.0,83068.0,1517452.0,0.05169224739074707
