Matrix Size,Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy,total energy,total time
636,76610005,45539496,1461443,8445,1384319,5195,1696788,442945,2754,7550,828,87340,201436,15544,71209,1023542,1013572,13980595,21769106,16046401,1704469,3032056,1370442,1646172,6787,3002219,16549796,5487130,4645100,2605788,22064048,294411,1409736,96335,23767,228280,69537,672,11418,6586,8327,8328,306126,1448007,102486,1296222,228836,71310,0,67304740,0,18850900,474536,698850.0,41565.0,740415.0,0.024421215057373047
637,76748266,44345508,1444696,7767,1463872,5371,1713331,282188,4229,7680,619,88181,203031,17028,68692,1031086,1082100,13951877,20498760,16615210,1638700,3038668,1369881,1650676,6849,3008950,16527798,5540094,4654656,4223955,22071908,290713,1418114,90630,23754,231590,71983,778,8205,8460,12009,7326,315438,1480154,98669,1196830,231496,73456,0,67514858,0,18858278,472355,703489.0,40100.0,743589.0,0.024234294891357422
638,76899573,45942630,1494083,8300,1428994,4630,1691109,281761,2361,7670,444,61331,203383,16145,70101,1213901,1033746,13925599,20388364,16031635,1643037,3020977,1366616,1655384,6717,3014316,16526379,5520559,4662016,3706664,22080789,289420,1397760,88565,21877,233314,71882,828,6315,7914,8287,7033,323254,1252545,96873,1339117,234254,70697,0,67725308,0,18865588,472236,712034.0,45288.0,757322.0,0.024642467498779297
639,76888003,46174588,1689165,6939,1443006,5207,1710118,244304,3444,7340,486,78648,204020,15378,71364,1182403,1034241,13930104,20662538,16022523,1648740,3017791,1360238,1657152,6612,3011447,16528715,5542955,4665375,3861558,22067577,285978,1404411,84400,21063,237280,72668,999,6161,5905,8657,6239,302014,1384686,92670,1349102,235234,70373,0,67936090,0,18872830,459918,564085.0,25024.0,589109.0,0.020830631256103516
640,76993824,45828286,1648406,6597,1441495,8710,1430559,258549,3321,7028,496,75759,206315,14065,70615,1181030,1002273,13948887,20796469,16089466,1652169,3014658,1355590,1659456,6645,3023295,16532827,5553793,4667002,2789959,22085784,287938,1385758,78342,19610,236410,72046,1251,5881,4869,8000,6371,300043,1351043,86805,1400877,234688,69919,0,68147204,0,18880004,480552,556151.0,16235.0,572386.0,0.020543575286865234
641,78228612,46631111,1680839,7725,1435198,9059,1609170,254162,2395,7804,382,87675,205969,15880,72413,1233785,990066,14166396,21104113,16383436,1693472,3034791,1365469,1669317,6966,3046465,17052824,5575143,4872771,2821585,22626410,302176,1403603,85880,21355,237804,73815,1202,6472,5062,8127,6920,309486,1460460,94400,1406939,238446,73929,0,69186658,0,19764838,487728,588560.0,21911.0,610471.0,0.021348237991333008
642,78487954,46418813,1715319,10554,1434847,10813,1491993,241613,2584,8038,649,91259,205152,15486,71715,1129766,976757,14205888,21089876,16305020,1677918,3047307,1374781,1706453,7021,3051888,17118459,5592179,4749730,2658980,22709170,302169,1394035,77755,23927,239636,73142,891,7246,5872,16477,10766,309839,1454005,87390,1398562,239280,73168,0,69403408,0,19826728,481882,549315.0,16296.0,565611.0,0.020846843719482422
643,78909404,47048464,1654231,10998,1335456,7671,1797764,350861,2709,7693,675,94242,205276,15889,71528,1259757,999411,14255793,21659494,16399980,1689613,3063960,1376607,1692101,7112,3060627,17185666,5609454,4744480,2812351,22794685,309696,1378123,85181,24435,240552,74152,864,7912,5036,21340,7108,313000,1476577,101528,1367355,240430,73240,0,69620494,0,19888714,492401,692564.0,14709.0,707273.0,0.02559351921081543
644,79049300,47425495,1750958,10187,1396873,7066,1781608,372723,2621,7743,536,92036,205655,17438,72643,1146503,1028716,14395177,21701264,16462965,1676448,3071905,1383920,1690570,7043,3091571,17251086,5626508,4747032,2767288,22877609,308573,1430760,90644,23611,240504,71852,923,26134,8080,21273,8947,302934,1498266,95982,1252328,237792,73505,0,69837916,0,19950796,492355,660094.0,29907.0,690001.0,0.023102283477783203
645,79423717,46729363,1642112,8107,1393372,5241,1802667,297687,7103,7813,540,100240,208817,17028,70742,1631827,1122873,14485698,21982594,16465316,1679953,3084384,1390841,1694518,7515,3138155,17313290,5653515,4764264,3289103,22984389,310063,1477361,98394,23619,235496,71216,883,11836,7249,11999,8843,318562,1463956,107162,1303341,236838,73036,0,70055674,0,20012974,494633,743651.0,46447.0,790098.0,0.026856184005737305
